fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-03-31,249048000000,44709000000,11671000000,33000000,6525000000,23255000000,204386000000,144444000000,None,4374000000,None,4374000000,41765000000,41732000000,33000000,3225000000,12502000000,101948000000,31203000000,20137000000,None,314000000,314000000,21453000000,None,22100000000,314000000,None,22414000000,10752000000,49292000000,146219000000,39158000000,169059000000,1832000000,1964813456
2021-12-31,239535000000,33738000000,5640000000,374000000,6305000000,18419000000,68646000000,146961000000,None,4385000000,None,4385000000,41044000000,40696000000,374000000,3339000000,12384000000,99595000000,26791000000,16454000000,None,8015000000,256000000,66145000000,449000000,23700000000,4946000000,741000000,25932000000,10081000000,51891000000,139067000000,41464000000,165546000000,1832000000,1929806057
2021-09-30,239948000000,32137000000,5998000000,34000000,6129000000,16567000000,206612000000,147945000000,None,4402000000,None,4402000000,41131000000,41097000000,34000000,3409000000,11743000000,103226000000,25188000000,15308000000,None,291000000,291000000,20684000000,None,26900000000,291000000,None,27191000000,9589000000,57354000000,135862000000,41418000000,163044000000,1832000000,1927685919
2021-06-30,242806000000,32973000000,7527000000,34000000,6239000000,15705000000,209254000000,151208000000,None,4402000000,None,4402000000,40585000000,40551000000,34000000,3468000000,11744000000,108895000000,28147000000,14719000000,None,3497000000,3497000000,20790000000,None,27700000000,3497000000,None,31197000000,9931000000,59958000000,133182000000,40799000000,159640000000,1832000000,1933911944
2021-03-31,241645000000,30433000000,7076000000,32000000,5620000000,14118000000,210873000000,154003000000,None,4402000000,None,4402000000,39623000000,39591000000,32000000,3587000000,11530000000,108712000000,27480000000,12858000000,None,4841000000,4841000000,20494000000,None,28700000000,4841000000,None,33541000000,9781000000,60738000000,131888000000,41269000000,159285000000,1832000000,1928052179
2020-12-31,239790000000,26078000000,5596000000,327000000,5676000000,11471000000,66459000000,156618000000,None,4402000000,None,4402000000,39453000000,39052000000,327000000,3304000000,11950000000,107064000000,22183000000,10950000000,None,11373000000,1548000000,79045000000,447000000,30805000000,2600000000,1690000000,32348000000,9685000000,63095000000,131688000000,41498000000,160377000000,1832000000,1925186317
2020-09-30,223063000000,24803000000,6866000000,28000000,5681000000,9722000000,197217000000,142383000000,None,4416000000,None,4416000000,37787000000,37655000000,28000000,2506000000,11227000000,91025000000,19664000000,9537000000,None,530000000,530000000,17814000000,None,24200000000,530000000,None,24730000000,-1028000000,53547000000,131774000000,46138000000,163509000000,1832000000,1867323448
2020-06-30,223403000000,23732000000,6855000000,59000000,5511000000,8570000000,198642000000,143850000000,None,4416000000,None,4416000000,37372000000,37290000000,59000000,9592000000,11511000000,89017000000,20825000000,8250000000,None,3751000000,3751000000,18599000000,None,20300000000,3751000000,None,24051000000,628000000,49593000000,134118000000,46143000000,166122000000,1832000000,1867267832
2020-03-31,236677000000,28562000000,8492000000,50000000,6574000000,10167000000,205890000000,149220000000,None,4454000000,None,4454000000,40245000000,39693000000,50000000,11771000000,10516000000,91763000000,28235000000,11006000000,None,8688000000,8688000000,21188000000,None,13600000000,8688000000,None,22288000000,1534000000,42340000000,143930000000,46166000000,176113000000,1832000000,1866978650
2019-12-31,237428000000,28329000000,0,349000000,5848000000,13325000000,64548000000,150494000000,None,4463000000,None,4463000000,39048000000,38688000000,349000000,9093000000,10532000000,92220000000,26530000000,14103000000,None,13032000000,3282000000,56837000000,282000000,13659000000,5054000000,None,16941000000,1554000000,44136000000,144213000000,44599000000,174945000000,1832000000,1882168101
